 schemaname |           tablename            |                      policyname                      | permissive |  roles   |  cmd   |                                                          qual                                                           |                                                       with_check                                                        
 public     | landing_feature_cards          | rls_public_landing_feature_cards_service             | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | landing_sections               | rls_public_landing_sections_read                     | PERMISSIVE | {public} | SELECT | true                                                                                                                    | 
 public     | landing_sections               | rls_public_landing_sections_service                  | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | language_preferences           | rls_public_language_preferences_service              | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | language_preferences           | rls_public_language_preferences_user_id              | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 public     | legal_pages                    | rls_public_legal_pages_read                          | PERMISSIVE | {public} | SELECT | true                                                                                                                    | 
 public     | legal_pages                    | rls_public_legal_pages_service                       | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | maintenance_windows            | rls_public_maintenance_windows_read                  | PERMISSIVE | {public} | SELECT | true                                                                                                                    | 
 public     | maintenance_windows            | rls_public_maintenance_windows_service               | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | module_status                  | rls_public_module_status_read                        | PERMISSIVE | {public} | SELECT | true                                                                                                                    | 
 public     | module_status                  | rls_public_module_status_service                     | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | notification_delivery_attempts | rls_public_notification_delivery_attempts_owner      | PERMISSIVE | {public} | ALL    | (sakina_ai.rls_service_role() OR (EXISTS ( SELECT 1                                                                    +| (sakina_ai.rls_service_role() OR (EXISTS ( SELECT 1                                                                    +
            |                                |                                                      |            |          |        |    FROM user_notifications n                                                                                           +|    FROM user_notifications n                                                                                           +
            |                                |                                                      |            |          |        |   WHERE ((n.id = notification_delivery_attempts.user_notification_id) AND (n.user_id = sakina_ai.current_user_id()))))) |   WHERE ((n.id = notification_delivery_attempts.user_notification_id) AND (n.user_id = sakina_ai.current_user_id())))))
 public     | notification_delivery_attempts | rls_public_notification_delivery_attempts_service    | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | notification_preferences       | rls_public_notification_preferences_service          | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | notification_preferences       | rls_public_notification_preferences_user_id          | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 public     | notification_templates         | rls_public_notification_templates_read               | PERMISSIVE | {public} | SELECT | true                                                                                                                    | 
 public     | notification_templates         | rls_public_notification_templates_service            | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | password_credentials           | rls_public_password_credentials_self                 | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 public     | password_credentials           | rls_public_password_credentials_service              | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | password_credentials           | rls_public_password_credentials_user_id              | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 public     | payment_customers              | rls_public_payment_customers_service                 | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | payment_customers              | rls_public_payment_customers_user_id                 | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 public     | payment_methods                | rls_public_payment_methods_customer_owner            | PERMISSIVE | {public} | ALL    | (sakina_ai.rls_service_role() OR (EXISTS ( SELECT 1                                                                    +| (sakina_ai.rls_service_role() OR (EXISTS ( SELECT 1                                                                    +
            |                                |                                                      |            |          |        |    FROM payment_customers c                                                                                            +|    FROM payment_customers c                                                                                            +
            |                                |                                                      |            |          |        |   WHERE ((c.id = payment_methods.customer_id) AND (c.user_id = sakina_ai.current_user_id())))))                         |   WHERE ((c.id = payment_methods.customer_id) AND (c.user_id = sakina_ai.current_user_id())))))
 public     | payment_methods                | rls_public_payment_methods_service                   | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | payment_providers              | rls_public_payment_providers_read                    | PERMISSIVE | {public} | SELECT | true                                                                                                                    | 
 public     | payment_providers              | rls_public_payment_providers_service                 | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | payment_transactions           | rls_public_payment_transactions_service              | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | payment_transactions           | rls_public_payment_transactions_user_id              | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 public     | privacy_preferences            | rls_public_privacy_preferences_service               | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | privacy_preferences            | rls_public_privacy_preferences_user_id               | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 public     | profile_preferences            | rls_public_profile_preferences_service               | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | profile_preferences            | rls_public_profile_preferences_user_id               | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 public     | rag_events                     | rls_public_rag_events_service                        | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | rag_events                     | rls_public_rag_events_user_id                        | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 public     | refunds                        | rls_public_refunds_service                           | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | refunds                        | rls_public_refunds_transaction_owner                 | PERMISSIVE | {public} | ALL    | (sakina_ai.rls_service_role() OR (EXISTS ( SELECT 1                                                                    +| (sakina_ai.rls_service_role() OR (EXISTS ( SELECT 1                                                                    +
            |                                |                                                      |            |          |        |    FROM payment_transactions tx                                                                                        +|    FROM payment_transactions tx                                                                                        +
            |                                |                                                      |            |          |        |   WHERE ((tx.id = refunds.payment_transaction_id) AND (tx.user_id = sakina_ai.current_user_id())))))                    |   WHERE ((tx.id = refunds.payment_transaction_id) AND (tx.user_id = sakina_ai.current_user_id())))))
 public     | release_flags                  | rls_public_release_flags_read                        | PERMISSIVE | {public} | SELECT | true                                                                                                                    | 
 public     | release_flags                  | rls_public_release_flags_service                     | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | reminder_settings              | rls_public_reminder_settings_service                 | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | reminder_settings              | rls_public_reminder_settings_user_id                 | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 public     | scholar_accounts               | rls_public_scholar_accounts_service                  | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | scholar_accounts               | rls_public_scholar_accounts_user_id                  | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 public     | scholar_review_assignments     | rls_public_scholar_review_assignments_service        | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | security_logs                  | rls_public_security_logs_service                     | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | security_logs                  | rls_public_security_logs_user_id                     | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 public     | seo_metadata                   | rls_public_seo_metadata_read                         | PERMISSIVE | {public} | SELECT | true                                                                                                                    | 
 public     | seo_metadata                   | rls_public_seo_metadata_service                      | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | seo_pages                      | rls_public_seo_pages_read                            | PERMISSIVE | {public} | SELECT | true                                                                                                                    | 
 public     | seo_pages                      | rls_public_seo_pages_service                         | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | source_approval_queue          | rls_public_source_approval_queue_service             | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | subscription_events            | rls_public_subscription_events_service               | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | subscription_events            | rls_public_subscription_events_subscription_owner    | PERMISSIVE | {public} | ALL    | (sakina_ai.rls_service_role() OR (EXISTS ( SELECT 1                                                                    +| (sakina_ai.rls_service_role() OR (EXISTS ( SELECT 1                                                                    +
            |                                |                                                      |            |          |        |    FROM user_subscriptions s                                                                                           +|    FROM user_subscriptions s                                                                                           +
            |                                |                                                      |            |          |        |   WHERE ((s.id = subscription_events.user_subscription_id) AND (s.user_id = sakina_ai.current_user_id())))))            |   WHERE ((s.id = subscription_events.user_subscription_id) AND (s.user_id = sakina_ai.current_user_id())))))
 public     | subscription_events            | rls_public_subscription_events_user_id               | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 public     | subscription_plans             | rls_public_subscription_plans_read                   | PERMISSIVE | {public} | SELECT | true                                                                                                                    | 
 public     | subscription_plans             | rls_public_subscription_plans_service                | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | support_ticket_messages        | rls_public_support_ticket_messages_owner             | PERMISSIVE | {public} | ALL    | (sakina_ai.rls_service_role() OR (sender_user_id = sakina_ai.current_user_id()) OR (EXISTS ( SELECT 1                  +| (sakina_ai.rls_service_role() OR (sender_user_id = sakina_ai.current_user_id()) OR (EXISTS ( SELECT 1                  +
            |                                |                                                      |            |          |        |    FROM support_tickets t                                                                                              +|    FROM support_tickets t                                                                                              +
            |                                |                                                      |            |          |        |   WHERE ((t.id = support_ticket_messages.support_ticket_id) AND (t.user_id = sakina_ai.current_user_id())))))           |   WHERE ((t.id = support_ticket_messages.support_ticket_id) AND (t.user_id = sakina_ai.current_user_id())))))
 public     | support_ticket_messages        | rls_public_support_ticket_messages_service           | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | support_tickets                | rls_public_support_tickets_service                   | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 public     | support_tickets                | rls_public_support_tickets_user_id                   | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
