 schemaname |           tablename            |                      policyname                      | permissive |  roles   |  cmd   |                                                          qual                                                           |                                                       with_check                                                        
 sakina_ai  | brain_decision_traces          | rls_sakina_ai_brain_decision_traces_service          | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 sakina_ai  | brain_decision_traces          | rls_sakina_ai_brain_decision_traces_user_id_text     | PERMISSIVE | {public} | ALL    | ((user_id = (sakina_ai.current_user_id())::text) OR sakina_ai.rls_service_role())                                       | ((user_id = (sakina_ai.current_user_id())::text) OR sakina_ai.rls_service_role())
 sakina_ai  | brain_evaluation_results       | rls_sakina_ai_brain_evaluation_results_service       | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 sakina_ai  | brain_memory_events            | rls_sakina_ai_brain_memory_events_service            | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 sakina_ai  | brain_memory_events            | rls_sakina_ai_brain_memory_events_user_id            | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 sakina_ai  | citation_verification_events   | rls_sakina_ai_citation_verification_events_service   | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 sakina_ai  | conversations                  | rls_sakina_ai_conversations_service                  | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 sakina_ai  | conversations                  | rls_sakina_ai_conversations_user_id                  | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 sakina_ai  | entitlement_decisions          | rls_sakina_ai_entitlement_decisions_service          | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 sakina_ai  | entitlement_decisions          | rls_sakina_ai_entitlement_decisions_user_id          | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 sakina_ai  | islamic_api_sync_items         | rls_sakina_ai_islamic_api_sync_items_service         | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 sakina_ai  | islamic_api_sync_jobs          | rls_sakina_ai_islamic_api_sync_jobs_service          | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 sakina_ai  | islamic_chunks                 | rls_sakina_ai_islamic_chunks_service                 | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 sakina_ai  | islamic_chunks                 | rls_sakina_ai_islamic_chunks_verified_read           | PERMISSIVE | {public} | SELECT | true                                                                                                                    | 
 sakina_ai  | islamic_documents              | rls_sakina_ai_islamic_documents_service              | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 sakina_ai  | islamic_documents              | rls_sakina_ai_islamic_documents_verified_read        | PERMISSIVE | {public} | SELECT | true                                                                                                                    | 
 sakina_ai  | islamic_embeddings             | rls_sakina_ai_islamic_embeddings_service             | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 sakina_ai  | islamic_embeddings             | rls_sakina_ai_islamic_embeddings_verified_read       | PERMISSIVE | {public} | SELECT | true                                                                                                                    | 
 sakina_ai  | islamic_source_licences        | rls_sakina_ai_islamic_source_licences_service        | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 sakina_ai  | islamic_source_licences        | rls_sakina_ai_islamic_source_licences_verified_read  | PERMISSIVE | {public} | SELECT | true                                                                                                                    | 
 sakina_ai  | islamic_source_providers       | rls_sakina_ai_islamic_source_providers_service       | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 sakina_ai  | islamic_source_providers       | rls_sakina_ai_islamic_source_providers_verified_read | PERMISSIVE | {public} | SELECT | true                                                                                                                    | 
 sakina_ai  | islamic_source_reviews         | rls_sakina_ai_islamic_source_reviews_service         | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 sakina_ai  | islamic_sources                | rls_sakina_ai_islamic_sources_service                | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 sakina_ai  | islamic_sources                | rls_sakina_ai_islamic_sources_verified_read          | PERMISSIVE | {public} | SELECT | true                                                                                                                    | 
 sakina_ai  | knowledge_graph_edges          | rls_sakina_ai_knowledge_graph_edges_service          | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 sakina_ai  | knowledge_graph_edges          | rls_sakina_ai_knowledge_graph_edges_verified_read    | PERMISSIVE | {public} | SELECT | true                                                                                                                    | 
 sakina_ai  | knowledge_graph_entities       | rls_sakina_ai_knowledge_graph_entities_service       | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 sakina_ai  | knowledge_graph_entities       | rls_sakina_ai_knowledge_graph_entities_verified_read | PERMISSIVE | {public} | SELECT | true                                                                                                                    | 
